time,latitude,longitude,biomass_kg_per_m,station
2021-03-04 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-03-04 00:00:00+00:00,17.944336,-67.002266,5.2421875,C1_East
2021-03-04 00:00:00+00:00,17.943632,-67.00623,0.5390625,C2_Center
2021-03-04 00:00:00+00:00,17.954287,-67.050186,0.0,E1
2021-03-04 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-03-19 00:00:00+00:00,17.942287,-67.07675,8.9609375,SC
2021-03-19 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-03-19 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-03-19 00:00:00+00:00,17.943077,-67.05644,0.703125,L1
2021-03-19 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-03-19 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-03-19 00:00:00+00:00,17.954287,-67.050186,0.0,E1
2021-03-19 00:00:00+00:00,17.939789,-67.04021,0.0,ML1
2021-03-19 00:00:00+00:00,17.944336,-67.002266,0.0,C1_East
2021-04-08 00:00:00+00:00,17.9394,-67.04,1.9375,ML2
2021-04-08 00:00:00+00:00,17.954287,-67.050186,5.359375,E1
2021-04-08 00:00:00+00:00,17.943748,-67.009384,24.703125,C3_West
2021-04-08 00:00:00+00:00,17.939789,-67.04021,18.617188,ML1
2021-04-08 00:00:00+00:00,17.944336,-67.002266,8.6171875,C1_East
2021-04-08 00:00:00+00:00,17.968758,-67.076935,13.0390625,MJ2
2021-04-08 00:00:00+00:00,17.942287,-67.07675,0.421875,SC
2021-04-08 00:00:00+00:00,17.9392,-67.04,5.0078125,ML3
2021-04-08 00:00:00+00:00,17.97034,-67.04777,1.0625,G1
2021-04-08 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-04-08 00:00:00+00:00,17.973782,-67.06234,0.3828125,MJ4
2021-04-08 00:00:00+00:00,17.943632,-67.00623,5.0703125,C2_Center
2021-04-08 00:00:00+00:00,17.943077,-67.05644,0.421875,L1
2021-04-14 00:00:00+00:00,17.943632,-67.00623,26.5,C2_Center
2021-04-14 00:00:00+00:00,17.943077,-67.05644,5.5078125,L1
2021-04-14 00:00:00+00:00,17.97034,-67.04777,4.046875,G1
2021-04-14 00:00:00+00:00,17.942287,-67.07675,8.8515625,SC
2021-04-14 00:00:00+00:00,17.9392,-67.04,21.78125,ML3
2021-04-14 00:00:00+00:00,17.968758,-67.076935,4.6171875,MJ2
2021-04-14 00:00:00+00:00,17.972672,-67.06536,1.0,MJ3
2021-04-14 00:00:00+00:00,17.9394,-67.04,2.2421875,ML2
2021-04-14 00:00:00+00:00,17.954287,-67.050186,5.5234375,E1
2021-04-14 00:00:00+00:00,17.943748,-67.009384,16.007812,C3_West
2021-04-14 00:00:00+00:00,17.944336,-67.002266,9.90625,C1_East
2021-04-14 00:00:00+00:00,17.973782,-67.06234,1.2890625,MJ4
2021-04-14 00:00:00+00:00,17.939789,-67.04021,23.679688,ML1
2021-04-21 00:00:00+00:00,17.9392,-67.04,0.0,ML3
