time,station,biomass_kg_per_m,biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,biomass_t_r100_lag1w,biomass_t_r250_lag1w,biomass_t_r600_lag1w,biomass_t_domain_lag1w,biomass_t_r100_lag2w,biomass_t_r250_lag2w,biomass_t_r600_lag2w,biomass_t_domain_lag2w,biomass_t_r100_lag3w,biomass_t_r250_lag3w,biomass_t_r600_lag3w,biomass_t_domain_lag3w,latitude,longitude,biomass_t_r100_trend,biomass_t_r250_trend,biomass_t_r600_trend,biomass_t_domain_trend,doy_sin,doy_cos,doy_sin2,doy_cos2
2020-10-05 00:00:00+00:00,E1,0.1796875,109009.18095363695,217435.8468299254,250801.0970652394,536187.6177353432,,,,,,,,,,,,,17.954287,-67.050186,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-05 00:00:00+00:00,C1_East,0.9921875,113085.86437096946,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.944336,-67.002266,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-05 00:00:00+00:00,C2_Center,0.046875,113085.86437096944,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.943632,-67.00623,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-05 00:00:00+00:00,C3_West,0.03125,113054.65083887413,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.943748,-67.009384,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-05 00:00:00+00:00,ML1,1.359375,109009.18095363695,217435.8468299254,250841.11177789478,536187.6177353432,,,,,,,,,,,,,17.939789,-67.04021,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-05 00:00:00+00:00,ML2,0.0,109683.56198347897,217435.8468299254,250841.11177789472,536187.6177353432,,,,,,,,,,,,,17.9394,-67.04,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-08 00:00:00+00:00,C3_West,0.0,113054.65083887413,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.943748,-67.009384,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-08 00:00:00+00:00,ML1,0.046875,109009.18095363695,217435.8468299254,250841.11177789478,536187.6177353432,,,,,,,,,,,,,17.939789,-67.04021,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-08 00:00:00+00:00,ML2,0.0,109683.56198347897,217435.8468299254,250841.11177789472,536187.6177353432,,,,,,,,,,,,,17.9394,-67.04,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-08 00:00:00+00:00,C1_East,0.9375,113085.86437096946,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.944336,-67.002266,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-10-08 00:00:00+00:00,C2_Center,0.03125,113085.86437096944,216449.3384068491,250794.37820246743,536187.6177353432,,,,,,,,,,,,,17.943632,-67.00623,,,,,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337
2020-11-05 00:00:00+00:00,E1,1.546875,40310.07167818056,48936.11253203089,106512.41309673277,338675.8787037407,,,,,,,,,,,,,17.954287,-67.050186,,,,,-0.8136678304455991,0.5813300798152042,-0.9460191696320084,-0.32411067660409654
2020-11-10 00:00:00+00:00,C3_West,0.0390625,5130.92903903554,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,,,,,,,,,17.943748,-67.009384,-2.0982842294916235,-2.216827484092894,-2.482964136735921,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-10 00:00:00+00:00,C2_Center,0.46875,5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,,,,,,,,,17.943632,-67.00623,-2.0982842294916217,-2.216827484092894,-2.482964136735921,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-10 00:00:00+00:00,E1,0.1796875,5130.929039035541,6108.06427135026,9818.82872418876,20524.83148420623,40310.07167818056,48936.11253203089,106512.41309673277,338675.8787037407,,,,,,,,,17.954287,-67.050186,-2.061144543187538,-2.080762441734338,-2.3838672411037596,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-10 00:00:00+00:00,C1_East,23.320312,5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,108089.56139530793,338675.8787037407,,,,,,,,,17.944336,-67.002266,-2.0982842294916217,-2.216827484092894,-2.490560288401369,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-10 00:00:00+00:00,ML2,0.0390625,5130.92903903554,6108.06427135026,9818.82872418876,20524.83148420623,40816.047318055585,48936.1125320309,106647.16800939567,338675.8787037407,,,,,,,,,17.9394,-67.04,-2.0736182010660755,-2.080762441734338,-2.385131586488278,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-10 00:00:00+00:00,ML1,1.2265625,5130.92903903554,6108.064271350259,9818.82872418876,20524.83148420623,40131.90418067642,48936.11253203089,106647.16800939568,338675.8787037407,,,,,,,,,17.939789,-67.04021,-2.0567149314751045,-2.080762441734338,-2.385131586488278,-2.803362327348765,-0.7379428103031386,0.6748632518680403,-0.9960209693076331,-0.08911918255618792
2020-11-24 00:00:00+00:00,C3_West,0.0,148251.97103220117,189232.43672493583,238901.7467342011,395246.29944995866,,,,,5130.92903903554,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,17.943748,-67.009384,,,,,-0.5556819724760489,0.8313949395234058,-0.9239823598019431,0.3824350909302552
2020-11-24 00:00:00+00:00,ML2,0.0,144676.03440238672,189839.0815442835,239219.04028901152,395246.29944995866,,,,,5130.92903903554,6108.06427135026,9818.82872418876,20524.83148420623,40816.047318055585,48936.1125320309,106647.16800939567,338675.8787037407,17.9394,-67.04,,,,,-0.5556819724760489,0.8313949395234058,-0.9239823598019431,0.3824350909302552
2020-11-24 00:00:00+00:00,C1_East,0.0,148584.8073397351,189232.43672493583,238901.7467342011,395246.29944995866,,,,,5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,108089.56139530793,338675.8787037407,17.944336,-67.002266,,,,,-0.5556819724760489,0.8313949395234058,-0.9239823598019431,0.3824350909302552
2020-11-24 00:00:00+00:00,C2_Center,0.0,148581.96188450896,189232.43672493583,238901.7467342011,395246.29944995866,,,,,5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,17.943632,-67.00623,,,,,-0.5556819724760489,0.8313949395234058,-0.9239823598019431,0.3824350909302552
2020-11-24 00:00:00+00:00,ML1,0.0,144575.95891260452,189839.08154428346,239219.04028901155,395246.29944995866,,,,,5130.92903903554,6108.064271350259,9818.82872418876,20524.83148420623,40131.90418067642,48936.11253203089,106647.16800939568,338675.8787037407,17.939789,-67.04021,,,,,-0.5556819724760489,0.8313949395234058,-0.9239823598019431,0.3824350909302552
2020-12-14 00:00:00+00:00,C2_Center,0.0,101278.09137036356,182862.8380617316,376763.4191002418,692326.7565607579,,,,,,,,,148581.96188450896,189232.43672493583,238901.7467342011,395246.29944995866,17.943632,-67.00623,,,,,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716
2020-12-14 00:00:00+00:00,ML2,0.0,94847.24896564615,183707.6502795502,373600.2792849102,692326.7565607579,,,,,,,,,144676.03440238672,189839.0815442835,239219.04028901152,395246.29944995866,17.9394,-67.04,,,,,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716
2020-12-14 00:00:00+00:00,C1_East,0.0,101304.44182676336,182862.8380617316,377147.1343971908,692326.7565607579,,,,,,,,,148584.8073397351,189232.43672493583,238901.7467342011,395246.29944995866,17.944336,-67.002266,,,,,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716
2020-12-14 00:00:00+00:00,C3_West,0.0,100283.86425893738,182862.83806173157,376598.8259736884,692326.7565607579,,,,,,,,,148251.97103220117,189232.43672493583,238901.7467342011,395246.29944995866,17.943748,-67.009384,,,,,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716
2020-12-14 00:00:00+00:00,E1,0.0,97441.6568362947,183049.52429518718,372283.61419057444,692326.7565607579,,,,,,,,,144738.05342249965,189839.08154428352,238815.5512644253,395246.29944995866,17.954287,-67.050186,,,,,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716
