biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
5130.92903903554,6108.06427135026,9818.82872418876,20524.83148420623,G1,2020-11-12,17.97034,-67.04777
143207.3175142176,191808.7296092405,240389.0846965751,395246.29944995866,MJ3,2020-11-26,17.972672,-67.06536
144676.03440238672,189839.0815442835,239219.04028901152,395246.29944995866,ML2,2020-11-26,17.9394,-67.04
144575.95891260452,189839.08154428343,239219.04028901155,395246.29944995866,ML1,2020-11-26,17.939789,-67.04021
144028.64798524987,191808.7296092405,240677.04140996133,395246.29944995866,MJ4,2020-11-26,17.973782,-67.06234
144676.03440238672,189839.0815442835,239219.04028901152,395246.29944995866,ML3,2020-11-26,17.9392,-67.04
142415.8920593358,191808.7296092405,239834.63427120712,395246.29944995866,MJ2,2020-11-26,17.968758,-67.076935
141393.1242095148,191808.7296092405,240350.6066358536,395246.29944995866,SC,2020-11-26,17.942287,-67.07675
143504.22602316644,192110.96260538,241270.02238219843,395246.29944995866,L1,2020-11-26,17.943077,-67.05644
148584.8073397351,189232.43672493583,238901.7467342011,395246.29944995866,C1_East,2020-11-26,17.944336,-67.002266
144738.05342249965,189839.08154428352,238815.5512644253,395246.29944995866,E1,2020-11-26,17.954287,-67.050186
145914.35008446276,189839.0815442835,238815.55126442533,395246.29944995866,G1,2020-11-26,17.97034,-67.04777
148581.96188450896,189232.43672493583,238901.7467342011,395246.29944995866,C2_Center,2020-11-26,17.943632,-67.00623
148251.97103220117,189232.43672493583,238901.7467342011,395246.29944995866,C3_West,2020-11-26,17.943748,-67.009384
141498.34259373703,191808.7296092405,239834.63427120712,395246.29944995866,MJ1,2020-11-26,17.967564,-67.07653
95153.20925143753,183707.6502795502,373600.2792849101,692326.7565607579,ML1,2020-12-17,17.939789,-67.04021
97319.84835790162,184211.2808199777,371610.0007169504,692326.7565607579,MJ4,2020-12-17,17.973782,-67.06234
94509.21465846236,183648.5697811721,370659.8173488415,692326.7565607579,SC,2020-12-17,17.942287,-67.07675
94847.24896564615,183707.6502795502,373600.2792849102,692326.7565607579,ML3,2020-12-17,17.9392,-67.04
94847.24896564615,183707.6502795502,373600.2792849102,692326.7565607579,ML2,2020-12-17,17.9394,-67.04
97027.8163720129,184112.5678517095,371480.6814199986,692326.7565607579,MJ3,2020-12-17,17.972672,-67.06536
95812.21806624108,183673.83804801776,369456.0296790869,692326.7565607579,MJ2,2020-12-17,17.968758,-67.076935
94837.38220695007,183673.83804801773,369456.0296790869,692326.7565607579,MJ1,2020-12-17,17.967564,-67.07653
96497.7605726273,185766.10480994484,374965.0838940116,692326.7565607579,L1,2020-12-17,17.943077,-67.05644
97441.6568362947,183049.5242951872,372283.6141905744,692326.7565607579,E1,2020-12-17,17.954287,-67.050186
100283.86425893738,182862.8380617316,376598.8259736884,692326.7565607579,C3_West,2020-12-17,17.943748,-67.009384
101278.09137036356,182862.8380617316,376763.4191002418,692326.7565607579,C2_Center,2020-12-17,17.943632,-67.00623
101304.44182676336,182862.8380617316,377147.1343971908,692326.7565607579,C1_East,2020-12-17,17.944336,-67.002266
99857.21383158506,183226.3073741329,372093.0559012258,692326.7565607579,G1,2020-12-17,17.97034,-67.04777
75928.066619488,88804.89763783073,106813.46309830683,198785.8857058654,ML3,2021-01-14,17.9392,-67.04
75928.066619488,88804.89763783073,106813.46309830683,198785.8857058654,ML2,2021-01-14,17.9394,-67.04
75746.13299867699,88804.89763783073,106813.46309830683,198785.8857058654,ML1,2021-01-14,17.939789,-67.04021
74911.10634525925,91353.17652351785,109456.01477325716,198785.8857058654,MJ4,2021-01-14,17.973782,-67.06234
74830.38766574083,91353.17652351785,109456.01477325718,198785.8857058654,MJ3,2021-01-14,17.972672,-67.06536
75022.71622636274,91353.17652351785,108789.84370222474,198785.8857058654,SC,2021-01-14,17.942287,-67.07675
74319.62770642331,91353.17652351785,109079.20792407576,198785.8857058654,MJ2,2021-01-14,17.968758,-67.076935
75614.19486519867,91447.44931278109,109079.20792407576,198785.8857058654,L1,2021-01-14,17.943077,-67.05644
75043.04447873757,88804.89763783073,106813.46309830683,198785.8857058654,G1,2021-01-14,17.97034,-67.04777
75746.13299867699,88804.89763783073,106813.46309830683,198785.8857058654,E1,2021-01-14,17.954287,-67.050186
76804.56985108751,87950.05403180806,105839.3117519239,198785.8857058654,C3_West,2021-01-14,17.943748,-67.009384
77500.22706863296,87950.05403180806,105839.3117519239,198785.8857058654,C2_Center,2021-01-14,17.943632,-67.00623
